"dota"
{
"DOTA_Accept"	"ยอมรับ"
"DOTA_Cancel"	"ยกเลิก"
"DOTA_Console"	"คอนโซล"
"DOTA_Create"	"สร้าง"
"DOTA_Decline"	"ปฏิเสธ"
"DOTA_Error"	"ข้อผิดพลาด"
"DOTA_Join"	"เข้าร่วม"
"DOTA_Leave"	"ออก"
"DOTA_New"	"ใหม่"
"DOTA_Ok"	"ตกลง"
"DOTA_Sale"	"ลดราคา"
"DOTA_Close"	"ปิด"
"DOTA_Continue"	"ดำเนินการต่อ"
"DOTA_Add"	"เพิ่ม"
"DOTA_Edit"	"แก้ไข"
"DOTA_Enable"	"เปิดการใช้งาน"
"DOTA_Disable"	"ปิดการใช้งาน"
"DOTA_Refresh"	"รีเฟรช"
"DOTA_Loading"	"กำลังโหลด"
"DOTA_None"	"ไม่มี"
"DOTA_Customize"	"ปรับแต่ง"
"DOTA_AcceptChanges"	"ยอมรับการเปลี่ยนแปลง"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"ไม่ทราบ"
"UI_Yes"	"ใช่"
"UI_No"	"ไม่"
"UI_File_Filter_Any"	"ไฟล์ทั้งหมด (*.*)"
"DOTA_MainMenu_Heroes"	"ฮีโร่"
"DOTA_MainMenu_Watch"	"เข้าชม"
"DOTA_MainMenu_Learn"	"เรียนรู้"
"DOTA_MainMenu_Mods"	"เกมแบบกำหนดเอง"
"DOTA_TabName_GlobalItems"	"ไอเท็มสภาพแวดล้อม"
"DOTA_TabName_Treasury"	"คลังสมบัติ"
"DOTA_TabName_Armory"	"คลังแสง"
"DOTA_ConfirmQuit"	"ยืนยันการออก"
"DOTA_ConfirmQuitDesc"	"คุณต้องการจะออกจาก Dota 2 หรือไม่?"
"DOTA_ConfirmQuitDescUnsafe"	"การออกจากเกมก่อนที่เกมจะจบอาจทำลายเกมของผู้เล่นคนอื่น คุณแน่ใจแล้วว่าต้องการออกจาก Dota 2?"
"DOTA_InvalidPersonaName"	"[ไม่ทราบ]"
"DOTA_Friends_WindowTitle"	"เพื่อน"
"DOTA_FriendsCategory_ReadyToPlay"	"อยู่ในเกมเปิด <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"อยู่ใน Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"ออนไลน์ <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"อยู่ระหว่างดำเนินการ <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"ออฟไลน์ <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"ในขณะนี้รายชื่อเพื่อนของคุณว่างเปล่า"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"เพื่อน"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"MMR เดี่ยว"
"DOTA_ProfileCard_StatTitle_PartyRank"	"MMR ปาร์ตี้"
"DOTA_ProfileCard_StatTitle_Wins"	"ชนะ"
"DOTA_ProfileCard_StatTitle_Commends"	"ชมเชย"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"แมตช์"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"แมตช์แรก"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"ถ้วยรางวัล"
"DOTA_ProfileCard_SlotTab_Items"	"คลังแสง"
"DOTA_ProfileCard_SlotTab_Heroes"	"ฮีโร่"
"DOTA_ProfileCard_SlotTab_Emoticons"	"อีโมติคอน"
"DOTA_ProfileCard_NoTrophies"	"ไม่มีถ้วยรางวัล"
"DOTA_ProfileCard_NoItems"	"ไม่มีไอเท็ม"
"DOTA_ProfileCard_HeroOnly"	"ฮีโร่เท่านั้น"
"DOTA_ProfileCard_HeroShowWins"	"แสดงชนะ"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"แสดงชนะ-แพ้"
"DOTA_ProfileCard_ItemSearchPrefix"	"ค้นหา:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"ไอเท็มตามชื่อ"
"DOTA_ProfileCard_ItemArmoryLink"	"ดูคลังแสงแบบเต็ม"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"ค้นหาตามชื่อฮีโร่"
"DOTA_Wins_Singular"	"ชนะ 1 ครั้ง"
"DOTA_Wins_Plural"	"ชนะ {d:hero_wins} ครั้ง"
"DOTA_Losses_Singular"	"แพ้ 1 ครั้ง"
"DOTA_Losses_Plural"	"แพ้ {d:hero_losses} ครั้ง"
"DOTA_Profile_TotalGames"	"เกมทั้งหมด"
"DOTA_Profile_Solo_MMR"	"MMR เดี่ยว"
"DOTA_Profile_Team_MMR"	"MMR ทีม"
"DOTA_Profile_Party_MMR"	"MMR ปาร์ตี้"
"DOTA_Profile_VictoryCount"	"ชนะ"
"DOTA_Profile_ProfilePage"	"โปรไฟล์"
"DOTA_Profile_TrophyPage"	"ถ้วยรางวัล"
"DOTA_Profile_RecentGamesPage"	"เกมที่ผ่านมา"
"DOTA_Profile_HeroPage"	"ฮีโร่"
"DOTA_Profile_PlayStyle"	"รูปแบบการเล่น"
"DOTA_Profile_MostRecent"	"{s:num_style_games} เกมล่าสุด"
"DOTA_Profile_RecentActivity"	"กิจกรรมล่าสุด"
"DOTA_Profile_Fighting"	"การต่อสู้"
"DOTA_Profile_Fighting_TooltipTitle"	"การต่อสู้"
"DOTA_Profile_Fighting_Tooltip"	"ผู้เล่นที่ช่วยต่อสู้กับฮีโร่ศัตรูหลายครั้ง"
"DOTA_Profile_Farming"	"การฟาร์ม"
"DOTA_Profile_Farming_TooltipTitle"	"การฟาร์ม"
"DOTA_Profile_Farming_Tooltip"	"ผู้เล่นที่ฟาร์มเงินจากการสังหารสิ่งมีชีวิต"
"DOTA_Profile_Supporting"	"การสนับสนุน"
"DOTA_Profile_Supporting_TooltipTitle"	"การสนับสนุน"
"DOTA_Profile_Supporting_Tooltip"	"ผู้เล่นที่ช่วยสนับสนุนทีมด้วยไอเท็ม การฟื้นฟู และการปัก Ward"
"DOTA_Profile_Pushing"	"การดัน"
"DOTA_Profile_Pushing_TooltipTitle"	"การดัน"
"DOTA_Profile_Pushing_Tooltip"	"ผู้เล่นที่ดันป้อม ช่วยสร้างพื้นที่ให้แก่ทีม"
"DOTA_Profile_Versatility"	"ความหลากหลาย"
"DOTA_Profile_Versatility_TooltipTitle"	"ความหลากหลาย"
"DOTA_Profile_Versatility_Tooltip"	"ผู้เล่นที่มีความหลากหลายและสามารถเล่นฮีโร่หลายตัว"
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"เปรียบเทียบกับสถิติของฉัน"
"DOTA_Profile_Self"	"ฉัน"
"DOTA_Profile_GPM"	"GPM เฉลี่ย"
"DOTA_Profile_XPM"	"XPM เฉลี่ย"
