"dota"
{
"DOTA_Accept"	"Elfogad"
"DOTA_Cancel"	"Mégse"
"DOTA_Console"	"Konzol"
"DOTA_Create"	"Létrehozás"
"DOTA_Decline"	"Elutasít"
"DOTA_Error"	"Hiba"
"DOTA_Join"	"Csatlakozás"
"DOTA_Leave"	"Elhagyás"
"DOTA_New"	"Új"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Akció"
"DOTA_Close"	"Bezár"
"DOTA_Continue"	"Folytatás"
"DOTA_Add"	"Hozzáadás"
"DOTA_Edit"	"Szerkesztés"
"DOTA_Enable"	"Bekapcsolás"
"DOTA_Disable"	"Kikapcsolás"
"DOTA_Refresh"	"Frissítés"
"DOTA_Loading"	"Betöltés"
"DOTA_None"	"Nincs"
"DOTA_Customize"	"Testreszabás"
"DOTA_AcceptChanges"	"Változások elfogadása"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"Ismeretlen"
"UI_Yes"	"Igen"
"UI_No"	"Nem"
"UI_File_Filter_Any"	"Összes fájl (*.*)"
"DOTA_MainMenu_Heroes"	"Hősök"
"DOTA_MainMenu_Watch"	"Meccsnézés"
"DOTA_MainMenu_Learn"	"Tanulás"
"DOTA_MainMenu_Mods"	"Árkád"
"DOTA_TabName_GlobalItems"	"Általános tárgyak"
"DOTA_TabName_Treasury"	"Kincstár"
"DOTA_TabName_Armory"	"Fegyvertár"
"DOTA_ConfirmQuit"	"Kilépés megerősítése"
"DOTA_ConfirmQuitDesc"	"Biztosan ki szeretnél lépni a Dota 2-ből?"
"DOTA_ConfirmQuitDescUnsafe"	"A játék elhagyása annak befejezése előtt tönkreteheti mások játékát. Biztosan ki szeretnél lépni a Dota 2-ből?"
"DOTA_InvalidPersonaName"	"[ismeretlen]"
"DOTA_Friends_WindowTitle"	"BARÁTOK"
"DOTA_FriendsCategory_ReadyToPlay"	"Nyílt játékban <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"Dotában <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"Online <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"Függőben <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Offline <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Barátlistád jelenleg üres."
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Barátok"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"Szóló JáR"
"DOTA_ProfileCard_StatTitle_PartyRank"	"Társasági JáR"
"DOTA_ProfileCard_StatTitle_Wins"	"Győzelmek"
"DOTA_ProfileCard_StatTitle_Commends"	"Ajánlások"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Meccsek"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Első meccs"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
