"dota"
{
"DOTA_Accept"	"接受"
"DOTA_Cancel"	"取消"
"DOTA_Console"	"命令列"
"DOTA_Create"	"	建立"
"DOTA_Decline"	"拒絕"
"DOTA_Error"	"錯誤"
"DOTA_Join"	"加入"
"DOTA_Leave"	"離開"
"DOTA_New"	"全新"
"DOTA_Ok"	"確定"
"DOTA_Sale"	"特價"
"DOTA_Close"	"關閉"
"DOTA_Continue"	"繼續"
"DOTA_Add"	"新增"
"DOTA_Edit"	"編輯"
"DOTA_Enable"	"啟用"
"DOTA_Disable"	"停用"
"DOTA_Refresh"	"重新整理"
"DOTA_Loading"	"讀取中"
"DOTA_None"	"無"
"DOTA_Customize"	"自訂"
"DOTA_AcceptChanges"	"接受變更"
"dota_team_radiant"	"聖輝"
"dota_team_dire"	"魔魘"
"Unknown"	"未知"
"UI_Yes"	"是"
"UI_No"	"否"
"UI_File_Filter_Any"	"所有檔案 (*.*)"
"DOTA_MainMenu_Heroes"	"英雄"
"DOTA_MainMenu_Watch"	"觀戰"
"DOTA_MainMenu_Learn"	"學習"
"DOTA_TabName_GlobalItems"	"通用物品"
"DOTA_TabName_Treasury"	"寶庫"
"DOTA_TabName_Armory"	"軍械庫"
"DOTA_ConfirmQuit"	"確定離開"
"DOTA_ConfirmQuitDesc"	"您確定要離開《Dota 2》嗎？"
"DOTA_ConfirmQuitDescUnsafe"	"在遊戲結束前退出將會影響遊戲中的其他玩家。您確定要離開《Dota 2》嗎？"
"DOTA_InvalidPersonaName"	"[不明人士]"
"DOTA_Friends_WindowTitle"	"好友列表"
"DOTA_FriendsCategory_ReadyToPlay"	"在公開遊戲中<font color='#63C290'><b></b>（{d:friend_count}）</font>"
"DOTA_FriendsCategory_PlayingDota"	"在 Dota 中<font color='#ACEBA9'>（{d:friend_count}）</font>"
"DOTA_FriendsCategory_Online"	"線上<font color='#6a9dcc'>（{d:friend_count}）</font>"
"DOTA_FriendsCategory_Pending"	"待處理<font color='#eeee82'>（{d:friend_count}）</font>"
"DOTA_FriendsCategory_Offline"	"離線<font color='#676666'>（{d:friend_count}）</font>"
"DOTA_Friends_Empty"	"您的好友清單目前為空白"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"好友"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
