"dota"
{
"DOTA_Accept"	"Αποδοχή"
"DOTA_Cancel"	"Άκυρο"
"DOTA_Console"	"Κονσόλα"
"DOTA_Create"	"Δημιουργία"
"DOTA_Decline"	"Απόρριψη"
"DOTA_Error"	"Σφάλμα"
"DOTA_Join"	"Σύνδεση"
"DOTA_Leave"	"Αποχώρηση"
"DOTA_New"	"ΝΕΟ"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Προσφορά"
"DOTA_Close"	"Κλείσιμο"
"DOTA_Continue"	"Συνέχεια"
"DOTA_Add"	"Προσθήκη"
"DOTA_Edit"	"Επεξεργασία"
"DOTA_Enable"	"Ενεργοποίηση"
"DOTA_Disable"	"Απενεργοποίηση"
"DOTA_Refresh"	"Ανανέωση"
"DOTA_Loading"	"Φόρτωση"
"DOTA_None"	"Κανένα"
"DOTA_Customize"	"Προσαρμογή"
"DOTA_AcceptChanges"	"Αποδοχή αλλαγών"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"Άγνωστο"
"UI_Yes"	"ΝΑΙ"
"UI_No"	"ΟΧΙ"
"UI_File_Filter_Any"	"Όλα τα αρχεία (*.*)"
"DOTA_MainMenu_Heroes"	"ΗΡΩΕΣ"
"DOTA_MainMenu_Watch"	"ΠΑΡΑΚΟΛΟΥΘΗΣΗ"
"DOTA_MainMenu_Learn"	"ΕΚΜΑΘΗΣΗ"
"DOTA_MainMenu_Mods"	"ΠΡΟΣΑΡΜΟΣΜΕΝΑ ΠΑΙΧΝΙΔΙΑ"
"DOTA_TabName_Treasury"	"Θησαυροφυλάκιο"
"DOTA_TabName_Armory"	"Οπλοστάσιο"
"DOTA_ConfirmQuit"	"Επιβεβαίωση εξόδου"
"DOTA_ConfirmQuitDesc"	"Επιθυμείτε πραγματικά την έξοδο από το Dota;"
"DOTA_ConfirmQuitDescUnsafe"	"Η αποχώρηση από ένα παιχνίδι πριν τελειώσει μπορεί να καταστρέψει το παιχνίδι και για τους υπόλοιπους παίκτες. Επιθυμείτε πραγματικά την έξοδο από το Dota 2;"
"DOTA_InvalidPersonaName"	"[άγνωστο]"
"DOTA_Friends_WindowTitle"	"ΦΙΛΟΙ"
"DOTA_FriendsCategory_ReadyToPlay"	"Σε ανοικτά παιχνίδια <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"Στο Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"Συνδεδεμένοι <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"Εκκρεμείς <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Εκτός σύνδεσης <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Η λίστα φίλων σας είναι άδεια αυτή τη στιγμή"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Φίλοι"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"Solo MMR"
"DOTA_ProfileCard_StatTitle_PartyRank"	"MMR παρέας"
"DOTA_ProfileCard_StatTitle_Wins"	"Νίκες"
"DOTA_ProfileCard_StatTitle_Commends"	"ΣΥΣΤΑΣΕΙΣ"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Αγώνες"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Πρώτος αγώνας"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Τρόπαια"
"DOTA_ProfileCard_SlotTab_Items"	"Οπλοστάσιο"
"DOTA_ProfileCard_SlotTab_Heroes"	"Ήρωες"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Emoticon"
"DOTA_ProfileCard_NoTrophies"	"Δεν υπάρχουν διαθέσιμα τρόπαια."
"DOTA_ProfileCard_NoItems"	"Δεν υπάρχουν διαθέσιμα αντικείμενα."
"DOTA_ProfileCard_HeroOnly"	"Μόνο ήρωες"
"DOTA_ProfileCard_HeroShowWins"	"Εμφάνιση νικών"
"DOTA_ProfileCard_ItemSearchPrefix"	"Αναζήτηση για:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Αντικείμενα ανά όνομα"
"DOTA_ProfileCard_ItemArmoryLink"	"Προβολή πλήρους οπλοστασίου"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Αναζήτηση ανά όνομα ήρωα"
"DOTA_Wins_Singular"	"1 νίκη"
"DOTA_Wins_Plural"	"{d:hero_wins} νίκες"
"DOTA_Losses_Singular"	"1 ήττα"
"DOTA_Losses_Plural"	"{d:hero_losses} ήττες"
"DOTA_Profile_TotalGames"	"Συνολικοί αγώνες"
"DOTA_Profile_Solo_MMR"	"Solo MMR"
