"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_introduction_1"		"Próbálj a csapatod tornyainak hatósugarában harcolni a creepekkel és az ellenséges hősökkel."
		"dota_tip_introduction_2"		"Légy óvatos, mikor átkelsz a folyón az ellenség területére."
		"dota_tip_introduction_3"		"Ne felejts el tárgyakat vásárolni a játék kezdetekor az életerőd és manád feltöltéséhez!"
		"dota_tip_introduction_4"		"Vásárolj és használj Town Portal Scrollokat, hogy gyorsan mozoghass a térképen."
		"dota_tip_introduction_6"		"Néhány tárgyat csak „Titkos Boltban” lehet megvásárolni."
		"dota_tip_introduction_7"		"A legtöbb hős esetében az „Ultimate” képesség 6. szinten tanulható meg, és 12. és 18. szinten fejleszthető."
		"dota_tip_introduction_8"		"Az utolsó csapást mérve egy creepre vagy hősre további aranyat szerzel."
		"dota_tip_introduction_9"		"Mindegyik játékosnak saját futárja van, hogy tárgyakat vigyen neki, amíg a vonalakon van."
		"dota_tip_introduction_10"		"Azok a tárgyak, melyeket akkor vásárolsz, mikor távol vagy a bolttól, a talonodba kerülnek, ahonnan később kiveheted, vagy futároddal elhozathatod azokat."
		"dota_tip_introduction_11"		"Ha szükséges, a beállítások menüben elérhető egy színtévesztő beállítás."
		"dota_tip_introduction_12"		"A csevegés sokféleképpen testre szabható a Beállítások menüben a Közösségi fül alatt."

//LORE TIPS (everyone sees these)
		"dota_tip_lore_1" 					"Atos, a Rontás Ura, eltárolta esszenciája egy töredékét a Rod of Atosban."
		"dota_tip_lore_2" 					"Az Eye of Skadit az azúrkék sárkányok védték."
		"dota_tip_lore_3" 					"A Shadow Blade egykor egy mára rég elfeledett király kardja volt."
		"dota_tip_lore_4"					"Crystal Maiden és Lina nővérek."
		"dota_tip_lore_5"					"A mágikus pörölyt, Mjollnirt, Brok és Eitri, a törpök készítették Thor számára."
		"dota_tip_lore_6"					"A Meteor Hammert egy hullócsillagzápor által elpusztított faluban talált fémekből kovácsolták."
		"dota_tip_lore_7"					"A Guardian Greavest a Mindentudás tiszteletére kovácsolták."
